year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,4,57.90003,3.304629,0.853798902,4.238864688,0
2017,1,4,12.122225,2.574629,0.9927993,3.552377997,0
2017,1,4,0,2.334629,1.029406153,3.469027648,0
2017,1,4,0,1.5546293,0.992641131,3.54337935,0
2017,1,4,0,0.57462925,0.971429132,2.633937942,0
2017,1,4,0,0.035370752,0.999836277,2.525891191,0
2017,1,4,0,0.20537075,0.963919177,2.198790407,0
2017,1,4,0,0.45537075,0.905796079,2.26398933,0
2017,1,5,0,0.45537075,0.99992387,1.849245514,0
2017,1,5,0,0.33537075,1.021825531,1.741818025,0
2017,1,5,0,0.17537075,0.955694457,1.345523926,0
2017,1,5,0,0.5853707,0.985074241,1.367167504,0
2017,1,5,0,0.9653707,0.985622569,1.183901157,0
2017,1,5,0,1.0153707,1.050567919,0.991807389,0
2017,1,5,0,1.5453707,1.089129681,0.721768196,0
2017,1,5,0,2.5453708,1.191665226,0.086572249,0
2017,1,5,0,3.1253707,16.09254906,0.410028045,54.59578949
2017,1,5,0,3.2753708,232.8155264,0.98764675,1765.350836
2017,1,5,27.56356,2.5653708,313.4266158,2.165149302,1914.398929
2017,1,5,71.640656,1.8353708,290.2888371,2.463560291,1753.347114
2017,1,5,89.036606,2.0753708,278.0937235,2.310707791,1731.921789
2017,1,5,54.519146,2.165371,163.779308,1.864252085,1063.487788
2017,1,5,71.74614,1.7453707,138.0971877,1.384554822,993.1394303
2017,1,5,91.11842,2.0453708,30.36069008,0.138242972,214.0471751
2017,1,5,47.461372,2.2653708,1.421287469,1.13173503,0
2017,1,5,13.060723,3.5853708,1.083062897,1.691832188,0
2017,1,5,0,3.395371,1.360374961,1.391716406,0
2017,1,5,0,3.175371,1.098989322,2.140854941,0
2017,1,5,0,3.8153708,1.012495361,2.610504801,0
2017,1,5,0,3.7453709,1.068667473,3.235331815,0
2017,1,5,0,4.105371,1.01918661,3.225852346,0
2017,1,5,0,4.185371,1.038178775,2.847542758,0
2017,1,6,0,3.925371,1.027705822,3.838923254,0
2017,1,6,0,4.0053706,1.233397251,4.083828171,0
2017,1,6,0,3.8853707,1.019790829,4.297380726,0
2017,1,6,0,4.165371,1.039080557,4.502802105,0
2017,1,6,0,4.5053706,1.083903022,4.68225852,0
2017,1,6,0,4.375371,1.019238402,5.067319651,0
2017,1,6,0,4.535371,1.143718677,4.689546489,0
2017,1,6,0,4.545371,1.019232028,4.716842559,0
2017,1,6,0,5.065371,13.9598487,4.29321691,54.15792177
2017,1,6,0,5.7353706,70.7447059,3.741584452,355.5462698
2017,1,6,16.8224,5.575371,39.74222115,3.417949435,163.2660082
2017,1,6,83.78297,5.785371,297.1456181,2.284262083,1833.835046
2017,1,6,106.71532,5.9853706,235.2217021,1.715043858,1424.828183
2017,1,6,130.77464,6.305371,87.25040716,2.385278489,481.4556522
2017,1,6,126.57423,4.4253707,92.60795686,2.421211472,655.3115216
2017,1,6,92.59966,5.0053706,21.17957905,4.589998813,79.80937236
2017,1,6,56.067154,5.265371,1.859551571,5.892602697,0.130855852
2017,1,6,20.534565,6.205371,1.219613383,6.818173015,0
2017,1,6,0,6.355371,1.256399152,7.601596334,0
2017,1,6,0,6.665371,1.313712397,8.097952553,0
2017,1,6,0,6.915371,1.248961122,8.33628449,0
2017,1,6,0,7.1353707,1.31450603,8.702697767,0
2017,1,6,0,7.455371,1.442645561,9.074790329,0
2017,1,6,0,7.8653708,1.114364543,9.153001202,0
2017,1,7,0,8.25537,1.386626363,9.410781587,0
2017,1,7,0,8.525371,1.294091645,9.55940476,0
2017,1,7,0,8.735371,1.033084681,10.26746009,0
2017,1,7,0,9.05537,1.294988222,10.66328469,0
2017,1,7,0,9.30537,1.139376014,10.45296858,0
2017,1,7,0,9.38537,1.393614767,10.74927853,0
2017,1,7,0,9.3953705,1.743682712,10.86126562,0
2017,1,7,0,9.42537,1.577458678,10.59753582,0
2017,1,7,0,9.59537,14.06791868,9.12130164,91.95667602
2017,1,7,0,9.905371,72.1241619,7.460959014,512.5142784
2017,1,7,31.315691,9.235371,340.7790577,3.116800794,2478.710616
2017,1,7,93.51431,7.305371,243.7801927,2.149287644,1466.629682
2017,1,7,139.05823,5.775371,299.9529849,0.790399465,1858.161079
2017,1,7,163.91924,5.015371,149.8458833,1.846995949,872.6181185
2017,1,7,148.78711,3.8753707,71.92952836,2.534562685,399.2203929
2017,1,7,118.58364,3.5353708,20.26784044,3.0957078,96.88222294
2017,1,7,83.21057,3.3353708,1.077784435,3.619610249,0.000223006
2017,1,7,27.082235,3.5953708,1.095163214,4.083641492,0
2017,1,7,0,3.685371,1.089397535,4.609761406,0
2017,1,7,0,3.905371,1.12369747,5.02385665,0
2017,1,7,0,4.085371,1.099876271,4.972395899,0
2017,1,7,0,3.8453708,1.031656928,4.893597258,0
2017,1,7,0,3.675371,1.108130381,5.05540065,0
2017,1,7,0,3.4953709,1.03163385,5.216061353,0
2017,1,8,0,3.1353707,1.039059914,5.195306182,0
2017,1,8,0,3.695371,1.138856999,6.107520389,0
2017,1,8,0,3.8353708,1.02605994,6.459867673,0
2017,1,8,0,3.935371,0.947088889,6.590219825,0
2017,1,8,0,3.8553708,1.006431296,6.755676852,0
2017,1,8,0,3.6153708,1.006420421,6.787500382,0
2017,1,8,0,3.5153708,0.941791451,6.653289189,0
2017,1,8,0,3.5553708,0.513631926,6.525617731,0
2017,1,8,0,3.665371,43.20562455,6.42705133,121.9696437
2017,1,8,0,3.7953708,205.7629727,5.91367413,654.8777571
2017,1,8,23.84309,3.8753707,436.2768416,4.261535086,2197.924077
2017,1,8,80.95577,3.5453708,526.1680615,2.786451656,3379.497622
2017,1,8,129.1997,2.665371,493.3422069,1.735047708,3171.528993
2017,1,8,161.51268,2.2353709,373.8061193,1.805021065,2561.188733
